Temperature,Rainfall(mm),Surface Pressure,Wind speed,Humidity,STORAGE(P),DAM LEVEL(FT),DRAIN_LEVEL(INCH),Consequence,infrastructure
28.33,34.86,96.09,4.2,63.8,59,124.0528914,18.1,FLOOD,2
26.15,22.98,100.57,3.59,74.96,35,123.870222,17.1,FLOOD,2
29.07,21.21,99.89,3.95,73.72,860,130.1494831,17.2,FLOOD,2
24.8,25.47,100.5,6.8,71.96,194,125.0804069,17.6,FLOOD,2
26.01,21.34,100.48,6.09,73,1004,131.2454995,16.1,NO FLOOD,2
26.41,21.37,100.48,3.88,76.68,2807,144.9685391,16.4,NO FLOOD,3
25.21,30.32,97.98,6.1,67.7,1032,131.346,17.8,NO FLOOD,3
